|Station|Date|Min_temp|Max_temp|Rainfall|Dir_max_wind_gust|Speed_max_wind_gust|Time_max_wind_gust|temp_9am|hum_9am|cloud_9am|wind_dir_9am|wind_speed_9am|press_9am|temp_3pm|hum_3pm|cloud_3pm|wind_dir_3pm|wind_speed_3pm|press_3pm|Month
21|QUN|22-05-2015|17.1|24.3|6.2|12|37.0|0:35|19.0|74.0|6.0|12|19|1018.5|23.4|27.0|5.57425742574|16|17.0|1016.3|5
210|CAN|28-12-2015|6.4|24.7|0.0|1|37.0|17:10|14.1|46.0|6.0|11|7|1023.6|22.9|23.0|2.0|12|13|1020.5|12
207|CAN|25-12-2015|9.2|28.7|0.0|4|44.0|17:54|18.4|56.0|6.0|5|8|1017.3|26.6|27.0|1.0|4|11|1011.1|12
3|QUN|04-05-2015|18.1|29.2|0.0|15|24.0|5:04|22.7|69.0|6.0|13|37|1014.4|27.0|58.0|5.57425742574|5|11.0|1010.9|5
50|MAL|20-06-2015|4.1|11.6|0.0|11|19.0|13:25|6.3|98.0|6.0|0|40|1028.0|11.1|79.0|5.57425742574|9|9|1026.8|6
234|QUN|21-12-2015|22.8|32.8|0.0|0|43.0|13:28|29.7|52.0|6.0|1|11|1017.3|30.0|51.0|5.57425742574|2|26.0|1014.9|12
203|CAN|21-12-2015|19.3|27.9|0.0|1|43.0|16:21|20.6|83.0|8.0|7|11|1015.1|27.7|21.0|1.0|14|19|1015.4|12
191|MAL|08-11-2015|8.5|24.8|0.0|11|20.0|15:11|14.1|61.0|6.0|1|1|1022.6|23.3|33.0|5.57425742574|12|4|1019.4|11
126|CAN|05-10-2015|9.1|31.7|0.0|3|39.0|14:08|17.3|56.0|8.0|0|40|1026.6|30.9|18.0|5.57425742574|4|28|1023.4|10
32|MAL|02-06-2015|7.1|11.4|4.2|11|20.0|11:56|8.2|90.0|6.0|15|35|1029.0|9.9|91.0|5.57425742574|16|6|1026.9|6
16|QUN|17-05-2015|17.4|24.3|0.0|10|50.0|8:37|19.3|78.0|6.0|10|27|1025.8|21.6|72.0|5.57425742574|3|28.0|1023.2|5
4|QUN|05-05-2015|19.3|28.3|0.0|4|24.0|13:45|23.5|77.0|6.0|2|23|1014.5|26.2|68.0|5.57425742574|5|11.0|1010.5|5
