Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
39123,9/1/2015,11.9,24.9,0,,,NNE,30,14:24,18.8,37,,W,4,1019.6,23,40,,NNE,13,1014.8
39123,9/2/2015,14.8,26,0,,,NE,35,15:58,20.9,63,,WNW,4,1019.8,23.5,69,,NE,20,1015.8
39123,9/3/2015,20,30.4,0,,,NNW,41,9:00,23.1,74,,NNW,24,1015.7,27.3,61,,N,19,1010.4
39123,9/4/2015,15.6,26.9,0,,,SW,33,2:51,19.2,38,,SW,17,1019.5,24.3,39,,NE,15,1015.3
39123,9/5/2015,15.9,26.5,0,,,ENE,33,14:41,20.8,65,,SE,13,1021.2,23.8,55,,ENE,22,1017.5
39123,9/6/2015,17.2,26.5,0,,,ENE,28,13:02,23,67,,ESE,11,1022.4,24.4,54,,ENE,19,1019.2
39123,9/7/2015,16.8,27.4,0,,,NE,44,18:58,22.1,68,,E,7,1022.8,24.7,51,,NE,13,1019.9
39123,9/8/2015,16.9,27.1,0,,,NE,28,13:28,22.1,65,,WNW,2,1022.2,23.3,58,,NE,15,1017.3
39123,9/9/2015,16.8,27.9,0,,,SSW,30,9:33,19.9,28,,S,11,1022.3,24.1,36,,ENE,20,1018.7
39123,9/10/2015,15.6,26.5,0,,,E,50,15:12,22.3,47,,SE,15,1025.5,23.9,43,,ENE,30,1023.2
39123,9/11/2015,16.5,25.7,0,,,ESE,59,11:27,20.3,62,,SE,20,1026.7,23.5,45,,E,39,1023.9
39123,9/12/2015,16.7,26.4,0,,,E,57,14:46,22.7,56,,SE,19,1026.3,22.8,57,,E,39,1022.2
39123,9/13/2015,16.3,27,0,,,E,52,16:48,22.5,59,,SE,20,1025.5,23.2,60,,E,30,1022.1
39123,9/14/2015,16.6,27,0,,,ESE,44,9:44,22.6,58,,ESE,26,1024.5,24.3,53,,E,28,1021.1
39123,9/15/2015,17.6,27.4,0,,,ESE,35,8:33,22.3,67,,ESE,22,1022.1,25.4,50,,NE,17,1018.2
39123,9/16/2015,16.9,28.4,0,,,NE,30,15:21,22,71,,NW,7,1020.5,25.5,57,,NE,17,1016.3
39123,9/17/2015,17.2,30.6,0,,,NNE,31,15:13,22.1,76,,WNW,9,1018.4,25.9,60,,NNE,17,1012.9
39123,9/18/2015,17.6,28.8,0.4,,,E,43,18:17,21.7,29,,SW,13,1017.5,25,42,,ENE,20,1014.1
39123,9/19/2015,16.6,25.8,0,,,E,46,18:24,19.9,59,,SE,24,1019.3,23,56,,E,28,1015.1
39123,9/20/2015,17.3,27.5,0,,,SE,39,8:54,22.7,53,,SSE,19,1018.4,23.8,59,,E,20,1015.1
39123,9/21/2015,16.1,29,0,,,E,48,17:22,22.3,55,,SSE,7,1019,25,54,,E,26,1015
39123,9/22/2015,16.8,28.7,0,,,NE,31,14:37,24.1,59,,ENE,6,1019.2,24,62,,NE,15,1015
39123,9/23/2015,15.1,29.9,0,,,SSW,41,9:23,21.3,26,,SSW,17,1018.9,28.6,12,,WSW,13,1014.1
39123,9/24/2015,13.9,26.1,0,,,SSE,35,7:11,20.6,39,,SE,13,1021,23,43,,ENE,20,1016.2
39123,9/25/2015,15.6,26.8,0,,,ENE,35,15:12,22.2,43,,ESE,17,1021.9,24.1,37,,ENE,20,1017.2
39123,9/26/2015,14.9,27.1,0,,,ESE,39,20:19,22.2,45,,SE,19,1021.6,23.8,51,,ENE,28,1017.1
39123,9/27/2015,16,27.7,0,,,SSE,50,6:34,22.6,57,,SE,13,1021.2,22.2,68,,ENE,19,1017.7
39123,9/28/2015,15.5,27.4,4.6,,,ENE,35,15:53,23.2,58,,ENE,9,1020.7,20.3,81,,NE,13,1017.3
39123,9/29/2015,17.4,27.8,0.4,,,NE,30,15:03,24.2,62,,NE,11,1022.3,24.4,57,,NE,19,1018.6
39123,9/30/2015,17.1,28.1,0.2,,,NE,33,14:50,24.3,62,,ENE,13,1023.5,23.4,58,,NE,17,1020.4
