Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
39123,10/1/2015,17.7,29.1,0,,,ENE,33,13:05,25.1,53,,ENE,7,1026.1,23.9,57,,NE,17,1023.8
39123,10/2/2015,18.2,27.9,0,,,E,52,15:37,23.8,60,,ESE,20,1029.3,24.8,54,,ENE,33,1026.2
39123,10/3/2015,17.4,28.3,0,,,ESE,54,18:59,23.4,61,,ESE,26,1030.4,25.3,49,,E,39,1025.2
39123,10/4/2015,17.4,27.6,0,,,E,46,17:34,23.6,58,,ESE,24,1028.2,24.7,54,,E,26,1024.1
39123,10/5/2015,17.4,29.4,0,,,ENE,28,14:44,24.8,59,,ESE,13,1026.5,25.5,57,,ENE,19,1023.2
39123,10/6/2015,17.9,29.7,0,,,E,37,9:52,24.8,61,,ESE,19,1025.2,26.7,43,,E,20,1022.5
39123,10/7/2015,18.3,28.5,0,,,E,39,14:25,24.8,60,,ESE,22,1025.8,25.3,55,,ENE,26,1023.2
39123,10/8/2015,18.8,28.1,0,,,E,72,13:24,24.5,57,,ESE,37,1027.3,25.1,55,,E,43,1024.5
39123,10/9/2015,17.8,27.4,2,,,ESE,59,13:42,24.6,61,,E,31,1027.5,24.4,54,,E,41,1024.4
39123,10/10/2015,17.5,26.9,2.4,,,E,57,13:54,22.3,71,,ESE,28,1026.6,24.4,56,,E,39,1023
39123,10/11/2015,17.6,28.7,0.2,,,E,41,9:55,22.8,50,,E,26,1025.1,25.3,42,,E,24,1021.7
39123,10/12/2015,17.8,29.1,0,,,NE,31,14:12,26.3,52,,ENE,13,1023.8,25.7,50,,NE,19,1019.1
39123,10/13/2015,18,28.8,0,,,ENE,33,12:29,26.1,48,,NE,9,1021.5,25.3,56,,NE,19,1018
39123,10/14/2015,18.9,29.3,0,,,E,43,18:36,25.3,54,,E,22,1022.7,25.9,54,,ENE,24,1019
39123,10/15/2015,18.2,28.4,0,,,E,46,9:14,24.5,51,,E,22,1023.4,25.2,55,,ENE,33,1020.1
39123,10/16/2015,18.4,28.6,0,,,E,46,10:45,25.3,59,,ESE,26,1022.7,25.6,55,,E,31,1019.1
39123,10/17/2015,18.3,28.5,0,,,E,46,14:47,25.1,53,,ESE,24,1023,25.9,53,,E,31,1020.4
39123,10/18/2015,19.1,29,0,,,E,61,14:35,25,49,,ESE,28,1022.8,25.6,55,,E,43,1019.7
39123,10/19/2015,18.5,27.3,0,,,ESE,54,12:34,25.3,54,,ESE,24,1023.5,22.9,61,,E,26,1020.8
39123,10/20/2015,18,28.3,0.6,,,,,,23.8,57,,ESE,24,1022.1,26.3,52,,ENE,28,1019.1
39123,10/21/2015,18.3,29.2,0,,,E,30,13:35,26.6,47,,ENE,13,1020.3,26.5,48,,ENE,22,1016
39123,10/22/2015,18.9,30.1,0,,,NE,39,14:50,24.7,64,,N,6,1016.9,27.2,63,,NE,19,1012.6
39123,10/23/2015,21.7,31.7,0,,,NE,39,14:10,28.3,57,,ENE,7,1016.4,28.1,62,,NE,20,1012.5
39123,10/24/2015,20,29.1,4.6,,,E,46,9:09,23.3,82,,E,26,1020.3,26.5,63,,ENE,24,1017.9
39123,10/25/2015,20.7,30.5,0.2,,,ENE,37,17:01,27.6,60,,E,17,1022.4,28.1,55,,ENE,20,1019.4
39123,10/26/2015,20.9,30.2,0,,,,,,24.3,79,,NE,15,1021.9,27.7,59,,NE,17,1018.2
39123,10/27/2015,21.1,30.6,,,,NNE,37,15:03,27.1,61,,NE,13,1020.4,27.7,61,,NE,19,1015.9
39123,10/28/2015,22,30.8,0,,,NE,31,13:25,28.6,56,,NE,15,1020.4,27.3,59,,NE,20,1017.1
39123,10/29/2015,19.7,28.9,3.2,,,ESE,41,22:56,23.7,80,,SE,9,1019.1,26.3,65,,ENE,22,1016.2
39123,10/30/2015,19.4,27,39.4,,,ENE,50,1:59,20.7,95,,ESE,24,1020.7,23.3,70,,E,30,1018.3
39123,10/31/2015,20,28.8,0.8,,,E,39,13:57,27,55,,E,20,1021.3,25.4,62,,E,28,1018.3
