Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
39123,6/1/2015,18.2,25.4,0.2,,,SSW,31,23:29,19.8,94,,WSW,9,1017.3,23.7,63,,SSE,13,1015
39123,6/2/2015,13.1,22,0,,,SSW,41,0:47,14.4,53,,SSW,20,1021.9,21.1,34,,ENE,17,1018.1
39123,6/3/2015,11.5,24.4,0,,,E,28,19:05,17,52,,WSW,6,1021.1,22.5,52,,ENE,15,1018.1
39123,6/4/2015,15.3,22.8,0,,,E,26,13:42,19.8,74,,SSE,9,1021.3,20.3,78,,E,13,1018.6
39123,6/5/2015,13,26.8,0,,,SW,28,19:12,16.9,87,,WSW,11,1020.9,25.5,27,,WSW,9,1016.6
39123,6/6/2015,12.2,23.5,0,,,SSW,37,4:09,14.7,51,,S,15,1023.6,22.5,37,,ENE,9,1021.1
39123,6/7/2015,14.7,24.8,0,,,ESE,52,10:58,20.6,64,,SE,26,1024.4,23.4,55,,ESE,24,1022.8
39123,6/8/2015,16.9,23.8,0,,,ESE,50,11:51,19.9,83,,SE,22,1024.5,22.9,50,,ESE,30,1021.6
39123,6/9/2015,17.7,24.5,0,,,SSE,33,5:41,18.9,81,,SSE,17,1024,22.8,60,,SE,22,1020.8
39123,6/10/2015,16.8,26.5,1.8,,,ESE,50,14:47,20.8,76,,SSE,19,1023,23.7,52,,ESE,31,1021
39123,6/11/2015,17.9,24.1,0.2,,,ESE,69,12:15,21,72,,SE,26,1025,23.3,52,,ESE,39,1022.9
39123,6/12/2015,17.6,23.2,0,,,ESE,65,14:58,18.3,86,,SE,28,1025.9,20.8,63,,ESE,37,1022.4
39123,6/13/2015,17.1,22.6,0.6,,,ESE,61,12:54,20.6,67,,SE,26,1023.3,19.1,91,,ESE,30,1020.7
39123,6/14/2015,17.1,23.7,17.6,,,ESE,50,12:16,18.1,99,,SE,17,1022.5,22.3,70,,E,26,1019.6
39123,6/15/2015,17.7,25,0.2,,,ESE,44,9:16,21.3,79,,SE,20,1021.7,23.9,67,,ENE,13,1019.7
39123,6/16/2015,17.3,25.5,0.4,,,ESE,35,8:40,19.4,90,,ESE,20,1021,23.9,60,,E,20,1017
39123,6/17/2015,18.7,25.7,0,,,NNW,43,11:55,23.1,78,,NE,13,1016.4,18.3,99,,SSW,7,1014.6
39123,6/18/2015,15.6,24.5,14.8,,,ENE,26,12:57,19,90,,S,2,1017.2,23.2,67,,NE,9,1014.4
39123,6/19/2015,16.3,23.8,0.2,,,WSW,24,4:33,17.8,78,,SSW,7,1017.7,21.8,52,,S,6,1014.8
39123,6/20/2015,12.5,21.3,0,,,SW,35,11:31,15,64,,SSW,11,1020.2,20.5,38,,SE,13,1017.2
39123,6/21/2015,13.1,21.5,0,,,ESE,44,15:16,16.8,59,,SE,15,1021.9,20.9,47,,ESE,22,1020.1
39123,6/22/2015,14.9,23.4,0,,,SE,48,9:01,17.6,68,,SE,26,1024.7,21.3,57,,E,30,1022.6
39123,6/23/2015,15.5,23.7,0,,,ESE,48,11:20,18,78,,SSE,19,1025,21.8,56,,E,28,1022.6
39123,6/24/2015,14.3,23.5,0.2,,,SE,31,2:05,18.5,75,,SSE,19,1023.3,22.2,63,,ENE,15,1020.3
39123,6/25/2015,13.7,24.4,0,,,S,50,17:23,17.1,82,,WSW,9,1021.8,23.6,55,,NNE,7,1017.7
39123,6/26/2015,13.3,22.8,13.4,,,SE,44,22:07,15.5,80,,SW,13,1023.9,21.8,52,,SE,24,1021.7
39123,6/27/2015,15.5,23.7,0,,,ESE,54,16:10,20,74,,SE,26,1026.6,22.5,61,,ESE,28,1023.8
39123,6/28/2015,16.8,23.6,0,,,ESE,57,13:04,20,75,,SE,24,1026.6,22.6,63,,E,31,1024.9
39123,6/29/2015,17,24.2,0,,,ESE,54,12:31,20.2,74,,ESE,24,1027,22.2,63,,ESE,30,1023.7
39123,6/30/2015,15.8,23.8,0,,,SE,44,10:29,19.6,71,,SSE,22,1025.8,22,64,,E,28,1022.3
