Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
70351,9/1/2015,-3.1,14.2,0,,,N,37,14:17,2.8,99,8,N,4,1016.7,13.1,55,,NNW,28,1013.7
70351,9/2/2015,-2.8,16.8,0,,,NNW,31,14:50,4.5,89,,NW,4,1017.7,16.4,38,,NNW,19,1011.3
70351,9/3/2015,4.4,12.9,7.6,,,S,41,13:37,9.8,85,8,NW,17,1006.7,10.8,77,7,SSW,17,1009.5
70351,9/4/2015,0.7,16.7,5,,,NW,39,15:27,9.7,79,,WSW,6,1023,15.5,51,1,NW,26,1020.1
70351,9/5/2015,-0.1,16.9,0,,,NW,24,17:41,8,82,, ,Calm,1023.5,16.5,36,,NNW,7,1020
70351,9/6/2015,4.4,14.8,0,,,NW,30,16:41,9.9,80,4,SSW,7,1024.7,13.6,63,8,W,9,1020
70351,9/7/2015,3.6,13.9,0,,,WNW,57,13:59,11,70,,NNW,33,1016.5,11.9,35,,WNW,33,1015.9
70351,9/8/2015,3,13.1,0,,,NW,44,11:14,10,59,,WNW,19,1019.2,11,70,1,NNW,33,1016.6
70351,9/9/2015,-2.7,16.1,0,,,NNW,30,17:19,6.6,80,,NNE,7,1024.4,15.3,54,,NW,20,1022.7
70351,9/10/2015,1.8,17,0,,,S,31,11:10,10.6,57,,S,19,1031.8,16.8,44,,SSW,9,1029.3
70351,9/11/2015,0,18.9,0,,,N,41,13:28,8.8,80,, ,Calm,1032.6,18.1,51,,NNW,26,1027.8
70351,9/12/2015,-0.5,21.4,0,,,NNW,31,14:18,11.3,75,,WNW,6,1030,20.8,38,,N,22,1025.8
70351,9/13/2015,1,21.7,0,,,NW,22,14:33,12,71,4,NE,4,1029.4,21,30,,N,15,1025.7
70351,9/14/2015,2,22.4,0,,,NNW,44,13:56,12.7,78,, ,Calm,1026.2,21.4,42,,NNW,28,1021
70351,9/15/2015,5,18.7,0,,,NW,78,11:32,16.6,53,7,NW,31,1014.6,17,40,,W,35,1013.4
70351,9/16/2015,-1.5,17.5,0,,,NNW,39,15:23,9.9,67,,E,4,1018.6,16.5,46,,NW,26,1015.1
70351,9/17/2015,-1.5,17.3,0,,,WSW,30,11:59,9.4,74,,WNW,6,1020.1,16.8,33,,N,9,1018.7
70351,9/18/2015,3.5,16.8,0,,,ESE,31,15:31,11,59,4,SE,17,1027.8,14.8,47,5,SE,17,1025.9
70351,9/19/2015,3.4,15.5,0,,,ENE,26,16:56,12.2,68,7,SE,9,1028.1,14.6,60,8,WSW,6,1024.1
70351,9/20/2015,3.6,19.6,0,,,N,28,14:37,11.8,67,6,WSW,7,1024.9,17.8,41,1,N,13,1020.4
70351,9/21/2015,2,20.7,0,,,WNW,63,15:31,12.6,77,,NNW,9,1020.3,18.1,48,6,NW,24,1015.9
70351,9/22/2015,4.9,15.2,1,,,SSE,52,20:09,10.4,61,1,S,13,1019.1,11.8,38,7,S,30,1019.6
70351,9/23/2015,2.2,13.7,0,,,S,57,7:34,8.1,51,,S,37,1028.6,11.5,38,,S,39,1027
70351,9/24/2015,1.4,12.8,0,,,S,54,7:39,9.4,54,3,SSE,28,1028.7,11.6,45,2,SSE,19,1026.8
70351,9/25/2015,0.5,14.9,0,,,SSW,50,11:10,10.2,62,7,S,28,1031.8,14.4,48,8,SSE,19,1029
70351,9/26/2015,0.1,17.6,0,,,SE,44,9:57,11.5,65,8,S,20,1030.2,15.9,50,6,SE,15,1025.9
70351,9/27/2015,1.4,20,0,,,NW,31,14:26,11.3,63,,E,7,1025.5,18.8,43,,NW,17,1020.2
70351,9/28/2015,3.2,20.4,0,,,NNW,35,15:44,11.7,69,,NW,6,1021.8,19.2,47,2,NNW,22,1017.2
70351,9/29/2015,2.5,22.1,0,,,NW,54,12:35,13.8,58,,NNW,7,1019.6,20.3,32,1,WNW,30,1016.1
70351,9/30/2015,1.7,21.3,0,,,,,,13.7,69,,SW,7,1022.6,20.3,31,,NNW,24,1020.3
