Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
70351,5/1/2015,4.9,17.1,0,,,ESE,30,16:08,13.6,76,7,SE,11,1030.9,16.4,64,7,E,17,1026.7
70351,5/2/2015,7.6,19.4,0,,,E,26,10:56,13.8,94,8,S,11,1024,18.6,64,8,E,11,1019.5
70351,5/3/2015,7.8,23.3,0,,,SW,26,10:17,15.6,79,,SE,13,1018.9,20.5,60,4,SE,11,1016
70351,5/4/2015,5.8,21.5,0,,,N,30,13:45,9,99,8, ,Calm,1018.4,21,58,,NNW,19,1014.1
70351,5/5/2015,4,20.8,0,,,NW,67,12:18,15.3,66,,NW,30,1009.4,19.7,40,2,NW,44,1004.2
70351,5/6/2015,5.9,14,0,,,WNW,56,11:22,10.5,53,,WNW,24,1014.2,13.1,47,,WNW,30,1015
70351,5/7/2015,7.6,13.9,0,,,W,56,4:45,11,55,,WNW,20,1017.5,12.6,46,,WNW,28,1017.5
70351,5/8/2015,4,16.1,0,,,WNW,44,16:01,9.2,68,,NNW,20,1020.3,15.7,45,,NW,26,1016.4
70351,5/9/2015,6.3,15.3,0,,,WNW,48,11:38,12.4,62,5,WNW,24,1017.5,12.9,59,,WNW,26,1015.4
70351,5/10/2015,8.7,14.1,0,,,NW,78,12:39,10.7,62,8,NW,39,1009.1,10.3,91,8,NW,37,1005.8
70351,5/11/2015,8.6,16.4,2,,,NW,50,13:17,10.3,77,8,N,30,1010.2,14.6,55,3,WNW,33,1010.5
70351,5/12/2015,8.9,14.5,0,,,,,,11.7,75,8,NW,28,1014.1,12.9,63,8,WNW,28,1011.8
70351,5/13/2015,3.8,11.8,0,,,W,54,0:06,7.7,55,,WNW,24,1016.4,9.3,48,8,SW,13,1018.1
70351,5/14/2015,-4.7,14.1,0,,,N,28,14:43,4,81,,NW,2,1026.3,12.8,54,,N,19,1025.7
70351,5/15/2015,-1.5,17.8,0,,,SSW,26,10:54,10.5,71,,NE,2,1033.6,17.2,45,,SSE,9,1032
70351,5/16/2015,0.3,17.2,0,,,SSW,28,11:37,7.9,77,,ESE,13,1037.7,16.7,46,,N,11,1034.2
70351,5/17/2015,-3.1,18.4,0,,,ESE,17,21:51,4.3,93,,NNW,7,1037.2,17.7,32,,N,6,1032.5
70351,5/18/2015,-2.2,17.9,0,,,W,19,13:34,4.8,70,,S,9,1033,17.7,42,,NNW,9,1027.1
70351,5/19/2015,3.8,14.4,0,,,NW,41,18:15,8.8,99,6, ,Calm,1020.9,13.4,89,8,NNW,22,1015
70351,5/20/2015,8.8,18.2,9.4,,,,,,13.8,85,,NNW,26,1016.1,16.5,62,3,NW,26,1014.7
70351,5/21/2015,1,16.1,0,,,WNW,20,14:57,7.2,98,8, ,Calm,1021,15.2,50,8,WNW,9,1018.9
70351,5/22/2015,7.1,14.5,0.6,,,S,57,9:17,9.8,71,3,S,41,1023.4,13.1,50,6,S,26,1024.8
70351,5/23/2015,-2.6,15.2,0,,,NW,19,15:44,5,79,,SSE,9,1031.4,14.7,36,,NW,9,1028.8
70351,5/24/2015,-5.8,15.9,0,,,WNW,17,15:15,2.3,90,, ,Calm,1033.5,15.6,35,,WNW,11,1031
70351,5/25/2015,-2,14.6,0,,,,,,3.3,85,, ,Calm,1033.2,13.5,51,,NNW,2,1029.8
70351,5/26/2015,-4.5,15.2,0.2,,,WNW,15,12:39,2.9,91,,N,6,1031.1,13,51,,WNW,11,1026.5
70351,5/27/2015,-0.3,16.8,0,,,WNW,33,14:42,6.9,85,,ESE,7,1026.3,15.4,61,8,WNW,24,1022.6
70351,5/28/2015,0.1,14.8,0,,,NNW,44,22:20,7.1,99,8,NE,6,1024.8,14.2,74,8,NNW,13,1021.1
70351,5/29/2015,7.1,17.1,0,,,NNW,39,0:22,13.8,61,,NNW,17,1021.1,16.2,48,,WNW,24,1021.1
70351,5/30/2015,-2,14.2,0,,,WNW,39,17:30,2.7,98,,SSW,4,1023.3,12.8,51,,NW,22,1018.1
70351,5/31/2015,0,14,0,,,WNW,50,12:53,7.6,78,,N,7,1016.4,11.2,49,1,W,20,1013.6
